timestamp,pdf_name,error
2025-07-03T00:39:17.201419,ESD7504MUTAG_onsemi_217_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:18.685905,MMDT3904-7-F_DiodesIncorporated_538_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:20.056208,SIB452DK-T1-GE3_Vishay_34_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:21.319347,"74CBTLV3126PW,118_Nexperia_8_componentsearchengine.pdf",Connection error.
2025-07-03T00:39:22.684730,ADUM2201ARWZ-RL_RochesterElectronicsLLC_13_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:23.898881,W25Q16JVSNIQ_Winbond_12_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:25.311461,NC7SB3157P6X_NL_FairchildSemiconductorCorporation_8_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:26.721802,74LCX138MTC_FAIRCHILD_1_alldatasheet.pdf,Connection error.
2025-07-03T00:39:28.075503,XTR300AIRGWR_TexasInstruments_9_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:29.284607,74AUP1G08GW_PHILIPS_0_alldatasheet.pdf,Connection error.
2025-07-03T00:39:30.686044,1.5SMC400CA_ANOVA_12_alldatasheet.pdf,Connection error.
2025-07-03T00:39:32.078170,NXS0102DC-Q100_Nexperia_91_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:33.490484,FP1008R6-R100-R_Eaton_261_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:34.921439,74CBTLV3245DS_NXPSemiconductors_7_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:36.306448,TCA9555DBT_TexasInstruments_177_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:37.662118,NL27WZ17DFT2G-L22348_onsemi_65_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:39.003375,ICL3232IBNZ_RenesasElectronics_326_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:40.324630,LM393DR_ROHMSemiconductor_438_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:41.797872,B340A-13-F_DiodesIncorporated_31_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:43.246399,CMKT3904PBFREE_CentralSemiconductorCorp_133_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:44.689507,FOD817AS_onsemi_256_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:46.065571,SRP6030CA-1R0M_Bourns_132_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:47.502953,CD74HC175M_TexasInstruments_119_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:48.723076,NCP431AIDR2G_onsemi_53_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:50.067742,LT6700IS6-1_AnalogDevices_459_componentsearchengine.pdf,Connection error.
2025-07-03T00:39:51.413964,ECX-31B_ECS_1_alldatasheet.pdf,Connection error.
2025-07-03T00:39:52.646846,74LVC14APW_NXP_2_alldatasheet.pdf,Connection error.
2025-07-03T00:39:53.984828,74LVC1G06GW_NEXPERIA_4_alldatasheet.pdf,Connection error.
2025-07-03T00:39:55.301037,"74LVC2G17GW,125_Nexperia_27_componentsearchengine.pdf",Connection error.
2025-07-03T00:39:56.494443,74AUP1G04GW_NXP_1_alldatasheet.pdf,Connection error.
2025-07-03T00:39:57.858235,ACS722LLCTR-10AB-T.pdf,Connection error.
2025-07-03T00:39:59.236843,NC7WZ17P6X-L22347_onsemi_50_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:00.723909,ULN2003LVPWR_TI_0_alldatasheet.pdf,Connection error.
2025-07-03T00:40:02.138813,BSZ0901NS_Infineon_91_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:03.506273,NX3215SA-32.768K-STD-MUA-8_NDK_82_componentsearchengine.pdf,Connection error.
2025-07-03T00:40:04.742584,TPS62088YFP_TI_2_alldatasheet.pdf,Connection error.
2025-07-03T00:40:06.076880,74LVC2G66DC_PHILIPS_0_alldatasheet.pdf,Connection error.
2025-07-03T00:40:07.533940,1.5SMC350CA_WEITRON_1_alldatasheet.pdf,Connection error.
